iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
HUN,Hungary,100,100,95.83333333333333,NA,100,100,100,NA,100,100,100,NA,100,100,83.33333333333333,NA,100,100,100,NA
IDN,Indonesia,75.14880952380952,72.85714285714286,81.04166666666666,NA,54.166666666666664,50,54.166666666666664,54.166666666666664,75,70,70,70,100,100,100,NA,71.42857142857143,71.42857142857143,100,100
IND,India,66.16071428571428,67.09821428571428,74.24107142857143,NA,50,50,50,54.166666666666664,82.5,86.25,86.25,81.25,75,75,75,NA,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
IRL,Ireland,81.39880952380952,81.39880952380952,84.97023809523809,NA,79.16666666666666,79.16666666666666,79.16666666666666,NA,100,100,100,NA,75,75,75,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
IRN,"Iran, Islamic Rep.",50.78869047619047,50.78869047619047,55.401785714285715,NA,37.5,37.5,41.66666666666667,41.66666666666667,53.75,53.75,53.75,53.75,83.33333333333333,83.33333333333333,83.33333333333333,NA,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
IRQ,Iraq,33.64583333333333,32.70833333333333,30,NA,37.5,37.5,29.166666666666668,33.33333333333333,13.750000000000002,10,7.5,7.5,83.33333333333333,83.33333333333333,83.33333333333333,NA,0,0,0,42.857142857142854
ISL,Iceland,80.95238095238093,80.95238095238093,88.09523809523809,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,75,75,75,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
ISR,Israel,85.56547619047619,85.56547619047619,85.56547619047619,NA,87.5,87.5,87.5,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,71.42857142857143,71.42857142857143,71.42857142857143,NA
ITA,Italy,86.60714285714286,86.60714285714286,90.17857142857143,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,71.42857142857143,71.42857142857143,85.71428571428571,NA
JAM,Jamaica,61.99404761904761,59.910714285714285,57.54464285714286,NA,41.66666666666667,33.33333333333333,29.166666666666668,29.166666666666668,57.49999999999999,57.49999999999999,46.25,42.5,91.66666666666667,91.66666666666667,83.33333333333333,NA,57.14285714285714,57.14285714285714,71.42857142857143,85.71428571428571
JOR,Jordan,53.86904761904761,52.61904761904761,56.39880952380953,NA,25,25,20.833333333333336,33.33333333333333,50,45,50,45,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,71.42857142857143,100
JPN,Japan,72.17261904761905,72.17261904761905,83.92857142857143,NA,70.83333333333334,70.83333333333334,75,NA,100,100,100,NA,75,75,75,NA,42.857142857142854,42.857142857142854,85.71428571428571,NA
KAZ,Kazakhstan,70.32738095238096,69.38988095238096,71.39880952380953,NA,75,75,75,66.66666666666666,57.49999999999999,53.75,47.5,51.24999999999999,91.66666666666667,91.66666666666667,91.66666666666667,NA,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KEN,Kenya,47.842261904761905,48.88392857142857,57.514880952380956,NA,41.66666666666667,37.5,37.5,41.66666666666667,43.75,43.75,43.75,43.75,91.66666666666667,100,91.66666666666667,NA,14.285714285714285,14.285714285714285,57.14285714285714,71.42857142857143
KGZ,Kyrgyz Republic,67.82738095238096,67.82738095238096,71.39880952380953,NA,87.5,87.5,87.5,87.5,35,35,35,35,91.66666666666667,91.66666666666667,91.66666666666667,NA,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KHM,Cambodia,63.63095238095239,62.38095238095239,65.95238095238096,NA,37.5,37.5,37.5,41.66666666666667,82.5,77.5,77.5,71.25,91.66666666666667,91.66666666666667,91.66666666666667,NA,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
KIR,Kiribati,31.145833333333332,29.166666666666664,27.916666666666664,NA,20.833333333333336,16.666666666666664,16.666666666666664,16.666666666666664,28.749999999999996,25,20,16.25,75,75,75,NA,0,0,0,0
KNA,St. Kitts and Nevis,28.541666666666664,25.416666666666668,25.416666666666668,NA,33.33333333333333,29.166666666666668,29.166666666666668,33.33333333333333,22.5,22.5,22.5,30,58.333333333333336,50,50,NA,0,0,0,28.57142857142857
KOR,"Korea, Rep.",77.82738095238096,77.82738095238096,84.9702380952381,NA,70.83333333333334,70.83333333333334,70.83333333333334,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
KWT,Kuwait,47.42559523809524,47.42559523809524,54.56845238095239,NA,37.5,37.5,37.5,NA,46.25,46.25,46.25,NA,91.66666666666667,91.66666666666667,91.66666666666667,NA,14.285714285714285,14.285714285714285,42.857142857142854,NA
LAO,Lao PDR,40.550595238095234,41.07142857142857,59.73214285714286,NA,8.333333333333332,16.666666666666664,20.833333333333336,29.166666666666668,56.25,50,55.00000000000001,51.24999999999999,83.33333333333333,83.33333333333333,91.66666666666667,NA,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
LBN,Lebanon,34.30059523809524,35.342261904761905,41.54761904761905,NA,25,29.166666666666668,29.166666666666668,37.5,31.25,31.25,27.500000000000004,32.5,66.66666666666667,66.66666666666667,66.66666666666667,NA,14.285714285714285,14.285714285714285,42.857142857142854,42.857142857142854
LBR,Liberia,40.10416666666667,40.41666666666667,51.62202380952381,NA,25,25,29.166666666666668,41.66666666666667,43.75,45,48.75,36.25,91.66666666666667,91.66666666666667,100,NA,0,0,28.57142857142857,28.57142857142857
LBY,Libya,21.25,18.75,18.75,NA,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,22.5,12.5,12.5,12.5,41.666666666666664,41.666666666666664,41.666666666666664,NA,0,0,0,0
LCA,St. Lucia,44.33035714285714,48.39285714285714,50.50595238095238,NA,33.33333333333333,29.166666666666668,33.33333333333333,33.33333333333333,48.75,52.5,42.5,47.5,66.66666666666667,83.33333333333333,83.33333333333333,NA,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
LKA,Sri Lanka,67.64880952380952,74.83630952380952,77.47023809523809,NA,45.83333333333333,54.166666666666664,54.166666666666664,54.166666666666664,70,73.75,70,70,83.33333333333333,100,100,NA,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
LSO,Lesotho,51.51785714285714,50.47619047619047,61.50297619047619,NA,33.33333333333333,37.5,37.5,37.5,52.5,52.5,53.75,50,91.66666666666667,83.33333333333333,83.33333333333333,NA,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
LTU,Lithuania,87.20238095238096,87.20238095238096,95.83333333333333,NA,100,100,100,NA,100,100,100,NA,91.66666666666667,91.66666666666667,83.33333333333333,NA,57.14285714285714,57.14285714285714,100,NA
LUX,Luxembourg,80.95238095238096,80.95238095238096,88.0952380952381,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
LVA,Latvia,92.26190476190476,92.26190476190476,90.17857142857143,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,91.66666666666667,91.66666666666667,83.33333333333333,NA,85.71428571428571,85.71428571428571,85.71428571428571,NA
